tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
115N07638,PRICE RD,SOUTHBOUND,AZ-101/E BROADWAY RD/PRICE FWY,AZ,MARICOPA,85282,33.40877,-111.89199,33.40642,-111.89201,0.162377,5.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N05734,S RURAL RD,SOUTHBOUND,E BROADWAY RD,AZ,MARICOPA,85282,33.40755,-111.92628,33.40744,-111.92628,0.0076,1.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N05735,RURAL RD,SOUTHBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.41483,-111.9263,33.4147,-111.92631,0.009001,5.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P12601,,S PRICE RD SOUTHBOUND AND E BROADWAY RD,EXIT 53,AZ,MARICOPA,85281,33.41286,-111.89151,33.40877,-111.89199,0.284528,1.0,America/Phoenix,P4.0,USA,2024-04-09 14:00:00-04:00,null
115P12605,,AZ-101-LOOP NORTHBOUND,,AZ,MARICOPA,85281,33.40858,-111.8904,33.41301,-111.89124,0.310194,1.0,America/Phoenix,P4.0,USA,2024-04-09 14:00:00-04:00,null
115N12636,E 13TH ST,WESTBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.41494,-111.93828,33.41483,-111.93849,0.014395,1.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N12635,E 13TH ST,WESTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.41476,-111.93965,33.41476,-111.9399,0.014418,3.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N07621,APACHE BLVD,WESTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.41668,-111.93975,33.41706,-111.93997,0.029526,4.5,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+50371,RIO SALADO PKWY,EASTBOUND,N DOBSON RD,AZ,MARICOPA,85201,33.4293,-111.89027,33.42944,-111.87428,0.92215,10.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08910,UNIVERSITY DR,EASTBOUND,AZ-101/PRICE FWY,AZ,MARICOPA,85281,33.42199,-111.9091,33.42191,-111.89195,0.99005,12.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08911,UNIVERSITY DR,EASTBOUND,N DOBSON RD,AZ,MARICOPA,85281,33.42191,-111.89031,33.42213,-111.87437,0.920012,14.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115N07624,APACHE BLVD,WESTBOUND,S PRICE RD,AZ,MARICOPA,85281,33.41487,-111.89073,33.41487,-111.89196,0.070937,2.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-12635,E 13TH ST,WESTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.41483,-111.93849,33.41476,-111.93965,0.067312,2.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P08983,RIO SALADO PKWY,EASTBOUND,AZ-101/S PRICE RD,AZ,MARICOPA,85281,33.42937,-111.89184,33.4293,-111.89027,0.090662,9.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P08861,BROADWAY RD,EASTBOUND,AZ-101/PRICE FWY,AZ,MARICOPA,85282,33.40737,-111.892,33.40736,-111.89034,0.095751,19.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P08981,RIO SALADO PKWY,EASTBOUND,N SCOTTSDALE RD/S RURAL RD,AZ,MARICOPA,85281,33.42878,-111.92636,33.42877,-111.92622,0.008102,6.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P08980,RIO SALADO PKWY,EASTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.42957,-111.94008,33.42958,-111.93997,0.00638,4.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08909,UNIVERSITY DR,EASTBOUND,S MCCLINTOCK DR,AZ,MARICOPA,85281,33.42201,-111.9263,33.42199,-111.9091,0.991914,11.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08907,UNIVERSITY DR,EASTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.42194,-111.96092,33.42192,-111.94001,1.205931,9.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+08908,UNIVERSITY DR,EASTBOUND,S RURAL RD,AZ,MARICOPA,85281,33.42192,-111.94001,33.42201,-111.9263,0.790715,10.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
