tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
115P10604,,AZ-202-LOOP/RED MOUNTAIN FWY WB,,AZ,MARICOPA,85281,33.42946,-111.89045,33.43565,-111.89672,0.672299,1.0,America/Phoenix,P4.0,USA,2024-04-09 14:00:00-04:00,null
115-07644,MILL AVE,SOUTHBOUND,BROADWAY RD,AZ,MARICOPA,85281,33.41493,-111.9399,33.40741,-111.93985,0.519636,11.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-07643,MILL AVE,SOUTHBOUND,SOUTHERN AVE,AZ,MARICOPA,85282,33.40741,-111.93985,33.39286,-111.9396,1.005478,12.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P12635,E 13TH ST,EASTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.41476,-111.9399,33.41476,-111.93965,0.014418,1.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P10614,,AZ-101-LOOP/PRICE FWY SOUTHBOUND,,AZ,MARICOPA,85281,33.43487,-111.88789,33.42984,-111.89169,0.708791,1.0,America/Phoenix,P4.0,USA,2024-04-09 14:00:00-04:00,null
115P12636,E 13TH ST,EASTBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.41466,-111.93784,33.41464,-111.93735,0.028323,3.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08859,BROADWAY RD,WESTBOUND,S RURAL RD,AZ,MARICOPA,85282,33.40757,-111.90908,33.40755,-111.92628,0.99214,24.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-07646,MILL AVE,SOUTHBOUND,UNIVERSITY DR,AZ,MARICOPA,85281,33.42957,-111.94008,33.42192,-111.94001,0.528895,8.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-07645,MILL AVE,SOUTHBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.42192,-111.94001,33.41706,-111.93997,0.335821,9.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08979,RIO SALADO PKWY,WESTBOUND,PRIEST DR,AZ,MARICOPA,85281,33.42967,-111.94008,33.42962,-111.96097,1.360399,10.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08858,BROADWAY RD,WESTBOUND,S MILL AVE,AZ,MARICOPA,85282,33.40755,-111.92628,33.40741,-111.93985,0.782973,25.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-08857,BROADWAY RD,WESTBOUND,S PRIEST DR,AZ,MARICOPA,85282,33.40741,-111.93985,33.40743,-111.96077,1.206746,26.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-07647,MILL AVE,SOUTHBOUND,E RIO SALADO PKWY,AZ,MARICOPA,85281,33.43751,-111.94343,33.42967,-111.94008,0.577932,6.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P07624,APACHE BLVD,EASTBOUND,S PRICE RD,AZ,MARICOPA,85281,33.41467,-111.89196,33.41469,-111.89073,0.070954,4.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115P07621,APACHE BLVD,EASTBOUND,S MILL AVE,AZ,MARICOPA,85281,33.41706,-111.93997,33.41664,-111.9399,0.029361,1.5,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115+04462,N SCOTTSDALE RD,NORTHBOUND,AZ-202,AZ,MARICOPA,85281,33.42929,-111.92627,33.43534,-111.92627,0.418058,1.5,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-05735,RURAL RD,SOUTHBOUND,E APACHE BLVD,AZ,MARICOPA,85281,33.42201,-111.9263,33.41483,-111.9263,0.496115,4.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
115-07639,PRICE RD,SOUTHBOUND,AZ-101/E APACHE BLVD/PRICE FWY,AZ,MARICOPA,85281,33.43327,-111.89136,33.42097,-111.89195,0.851372,2.0,America/Phoenix,P1.11,USA,2024-04-09 14:00:00-04:00,null
